,Decision variables,Archive - y1,Archive - y2
0,0.0,0.0,4.0
1,0.11833348698399737,0.014002814141791876,3.5406688662058023
2,0.6792520310182937,0.461383321642477,1.7443751975693023
3,0.045223459086247586,0.0020451612517255096,3.821151324906735
4,1.1957555156373925,1.4298312531772464,0.6468091906276765
5,0.5713660622219662,0.3264591770590357,2.0409949281711715
6,0.8063163359653536,0.6501460336445929,1.4248806897831787
7,1.339820719027475,1.7951195591352997,0.43583668302540024
8,1.402284453979806,1.9664016898734429,0.3572638739542186
9,1.444268478601027,2.085911438280525,0.3088375238764173
10,0.3779853799805356,0.1428729474790299,2.630931427556887
11,0.8491396067610599,0.7210380717703275,1.3244796447260878
12,0.7448183161025056,0.5547543240017719,1.5754810595917499
13,0.22368983884200033,0.05003714400116008,3.1552777886331587
14,0.016538816145047708,0.0002735324394796907,3.9341182678592888
15,1.2148069392408154,1.475755899627638,0.6165281426643766
16,1.2723324380082766,1.618829832808085,0.5295000807749787
17,-0.38130377440698227,0.1453925683770108,5.670607666004939
18,0.8650345428062101,0.7482847602479489,1.2881465890231085
19,0.7946373049905291,0.6314484464826111,1.4528992265204947
20,-0.5655875031217125,0.3198892236874531,6.582239236174304
